Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788591652,40,GET,/whoami,27.500000,0.000000,8,10,12,14,19,25,30,43,150,150,150,366,0,8,11.978366871571879,3.8073030000305152,151.0262440006045,37.904371584699454
1788591652,40,,Aggregated,40.300000,0.000000,10,14,17,20,27,37,78,93,220,220,220,538,0,11,21.886928012999505,3.8073030000305152,755.0855509998655,58.04646840148699
1788591653,40,POST,/auth/token,1.600000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591653,40,GET,/proxy/ok,10.400000,0.000000,19,23,27,27,37,42,55,55,55,55,55,144,0,21,44.09799237498646,7.713381999565172,755.0855509998655,62.72222222222222
1788591653,40,GET,/whoami,28.200000,0.000000,8,10,12,14,19,23,30,36,46,46,46,400,0,8,12.197826254980555,3.8073030000305152,151.0262440006045,37.9025
1788591653,40,,Aggregated,40.200000,0.000000,10,14,16,19,25,30,42,46,55,55,55,584,0,11,21.535650246561676,3.8073030000305152,755.0855509998655,56.967465753424655
1788591653,40,POST,/auth/token,1.600000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591653,40,GET,/proxy/ok,10.400000,0.000000,20,24,27,30,41,55,94,120,120,120,120,148,0,21,45.21013997971848,7.713381999565172,755.0855509998655,62.729729729729726
1788591653,40,GET,/whoami,28.200000,0.000000,8,10,13,14,20,25,30,36,46,46,46,424,0,8,12.36317892922233,3.8073030000305152,151.0262440006045,37.903301886792455
1788591653,40,,Aggregated,40.200000,0.000000,10,14,17,20,26,32,45,55,120,120,120,612,0,11,21.700436148677042,3.8073030000305152,755.0855509998655,56.259803921568626
1788591654,40,POST,/auth/token,0.800000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591654,40,GET,/proxy/ok,9.900000,0.000000,21,26,27,32,47,90,120,180,180,180,180,160,0,22,45.56798633749395,7.713381999565172,755.0855509998655,62.71875
1788591654,40,GET,/whoami,29.600000,0.000000,9,12,14,16,24,32,46,74,90,90,90,458,0,9,13.62089684932459,3.8073030000305152,151.0262440006045,37.89956331877729
1788591654,40,,Aggregated,40.300000,0.000000,11,15,19,22,29,43,74,90,180,180,180,658,0,12,22.609159439196716,3.8073030000305152,755.0855509998655,55.42401215805471
1788591655,40,POST,/auth/token,0.000000,0.000000,53,54,59,59,64,64,64,64,64,64,64,40,0,30,33.689458500043656,6.26194799951918,137.98574799966445,226.9
1788591655,40,GET,/proxy/ok,9.900000,0.000000,22,27,30,34,54,90,120,180,180,180,180,170,0,22,44.65074036470469,7.713381999565172,755.0855509998655,62.71176470588235
1788591655,40,GET,/whoami,29.200000,0.000000,9,13,16,19,27,37,50,74,90,90,90,492,0,9,14.132233817049123,3.8073030000305152,151.0262440006045,37.89837398373984
1788591655,40,,Aggregated,39.100000,0.000000,12,16,21,24,32,45,74,90,180,180,180,702,0,13,22.637127122492466,3.8073030000305152,755.0855509998655,54.67663817663818
